bitInversionM,scrambleM,inversionM,rate,crossover,type
0.9165,0.903,0.9145,rate0.1,0.9154,one-point
0.9157,0.9003,0.9142,rate0.1,0.9082,one-point
0.9147,0.9001,0.9132,rate0.1,0.9021,one-point
0.9146,0.9,0.9102,rate0.1,0.8997,one-point
0.9143,0.8998,0.9101,rate0.1,0.8996,one-point
0.9139,0.8996,0.91,rate0.1,0.8989,one-point
0.9133,0.8995,0.9097,rate0.1,0.8961,one-point
0.9129,0.8993,0.9097,rate0.1,0.8955,one-point
0.9129,0.8992,0.9095,rate0.1,0.8951,one-point
0.9128,0.8992,0.9093,rate0.1,0.8929,one-point
0.9023,0.9153,0.9211,rate0.3,0.9165,two-points
0.8987,0.9143,0.9206,rate0.3,0.9157,two-points
0.8954,0.9139,0.9206,rate0.3,0.9147,two-points
0.8938,0.9135,0.9198,rate0.3,0.9146,two-points
0.892,0.9135,0.9197,rate0.3,0.9143,two-points
0.8919,0.9133,0.9192,rate0.3,0.9139,two-points
0.8909,0.9133,0.9191,rate0.3,0.9133,two-points
0.8907,0.9129,0.9188,rate0.3,0.9129,two-points
0.8899,0.9129,0.9188,rate0.3,0.9129,two-points
0.8894,0.9128,0.9187,rate0.3,0.9128,two-points
0.8914,0.9165,0.9198,rate0.6,0.921,uniform
0.8898,0.9163,0.9188,rate0.6,0.9185,uniform
0.8896,0.9158,0.9183,rate0.6,0.9174,uniform
0.8896,0.9157,0.9178,rate0.6,0.9165,uniform
0.8864,0.9148,0.9174,rate0.6,0.9164,uniform
0.8845,0.9148,0.9173,rate0.6,0.9161,uniform
0.8834,0.9147,0.917,rate0.6,0.916,uniform
0.8827,0.9146,0.9168,rate0.6,0.9156,uniform
0.8825,0.9145,0.9164,rate0.6,0.9153,uniform
0.8793,0.9142,0.916,rate0.6,0.9141,uniform
